Ward_Name,Zone,surface_temp,urban_index,veg_index,water_index,health_score,city_rank
Shivanagara,West,36.6278576581982,-0.0057780404637764,0.1049697302875179,-0.1175557318365515,49.19,80
Devasandra,Mahadevapura,36.29195959835284,-0.0077825910379528,0.1449985450081813,-0.1537616375925632,49.07,81
Shankar Matt,West,36.55599437026613,-0.0042660720799611,0.0987949110642507,-0.1147638389492519,48.39,82
Jayanagar East,South,36.83468935791404,-0.0068798317381101,0.1097506449166508,-0.1217704971035155,47.94,83
Ramaswamy Palya,East,36.435059218123534,-0.0073843220238097,0.1321160490777616,-0.1448749801574377,47.88,84
Vidyapeeta ward,South,36.876536442587714,-0.0079456613412573,0.1091562198027859,-0.1226525051663055,47.61,85
Hosakerehalli,South,35.87380113074883,0.0028921232144596,0.096714716967947,-0.120684471162292,46.87,86
Garudachar Playa,Mahadevapura,35.87869643559502,-0.0016269727827509,0.1268395470078206,-0.1469057711416457,46.79,87
Ganga Nagar,East,36.731908813113456,-0.0114874338144462,0.1541595948907951,-0.1627312993670346,46.72,88
Hosahalli,South,37.04033781445162,-0.0076600404922001,0.1112303638088182,-0.1232570777468856,46.72,88
Marenahalli,West,36.77441765657893,-0.0045448325958636,0.100165876527707,-0.1172854045435389,46.42,90
Byatarayanapura,Yelahanka,36.21038253104005,-0.0069403046925269,0.1377701325281521,-0.1558727276358925,46.38,91
Mudalapalya,West,36.77530007202878,-0.0030879827799462,0.0959293837309996,-0.1137638214174273,45.99,92
Rajarajeshwari Nagar,Rajarajeshwari Nagar,36.90380777462469,-0.0122491263445343,0.1495877347749865,-0.1595576378878827,45.89,93
Chamrajapet,West,37.07969528061974,-0.0051598376110265,0.1134032880959742,-0.1247508750466628,45.36,94
Jogupalya,East,36.1637582582587,-0.0007487870269370396,0.1089273592909773,-0.1323484514987066,45.28,95
Marathahalli,Mahadevapura,36.11878827738581,-0.0029174499646893,0.1299386930772501,-0.1503576032207008,45.23,96
Kamakshipalya,West,37.21162212205242,-0.0077994552332127,0.1138804901415119,-0.1270145572706957,44.87,97
Katriguppe,South,36.67810038411734,-0.0020473381551731,0.0980797364780032,-0.1189012547098846,44.74,98
Suddagunte Palya,South,36.60511188112678,-0.001076258765898,0.1144574128183512,-0.1307510913546615,44.65,99
J P Park,Rajarajeshwari Nagar,36.71717987794303,-0.0062737875961349,0.1204061289830067,-0.1393615219023857,44.41,100
Vannarpet,East,36.899397646060265,-0.0055131223425134,0.1269870426640207,-0.1411824423809405,43.96,101
Okalipuram,West,37.28735406052719,-0.0048185620923041,0.1162393946799426,-0.1270440598278837,43.69,102
Horamavu,Mahadevapura,36.03091123369739,-0.0014798648017568,0.1323593044098274,-0.1558560364994057,43.66,103
Srinagar,South,36.92133280428209,0.00044832885794162265,0.092776140727102,-0.1119474839385922,43.29,104
Arakere,Bommanahalli,36.95642114480752,-0.0069970650198103,0.1354369710665433,-0.1500102336904881,43.07,105
Kempegowda Ward,Yelahanka,35.953613570589994,-0.0006371115892402761,0.1355954308496608,-0.1603236754275728,42.93,106
Mattikere,West,36.339219459114304,0.0025663400612355,0.1033177038259601,-0.1280998302570679,42.77,107
Padmanabha Nagar,South,36.88614540510661,-0.002799634045339,0.1094922423830853,-0.129748394837068,42.53,108
Shakthi Ganapathi Nagar,West,36.920869711117206,0.0008165131866033818,0.0957952632409015,-0.1172784937072286,41.85,109
Kadugodi,Mahadevapura,36.50435192219583,-0.006598596004108,0.1562617460201134,-0.1750482310459033,41.76,110
Subhash Nagar,West,37.96404722201839,-0.0087186628994847,0.1222303535388492,-0.1290380510141645,41.74,111
Basavanapura,Mahadevapura,36.35898412264016,3.0478866201491186e-08,0.1198835722615017,-0.145001759243125,41.65,112
Nayandahalli,West,37.20503382017544,-0.0051879436989628,0.1327736509904515,-0.1456314890182224,41.6,113
Jnana Bharathi ward,Rajarajeshwari Nagar,37.03432663560834,-0.0078174896000122,0.1514047652588428,-0.1646930146800941,41.51,114
Sagayarapuram,East,36.93993396278024,-0.0043195102280361,0.1263444243293409,-0.145088184569968,41.42,115
Hebbala,East,36.84874437271482,-0.0028355586037553,0.1202537149145412,-0.1411258300140938,41.26,116
Chikkalsandra,South,36.73678383914194,0.0025516307856783,0.0946367243322086,-0.1192362042281039,41.21,117
Siddapura,South,37.147212373569374,-0.0015301478877731,0.1165617015207507,-0.1322003957745136,41.21,117
HBR Layout,East,36.00325365872848,0.0042531909789471,0.1172846008859429,-0.1462174229797014,40.95,119
